"Language","Glottocode","PC1","PC2","PC3"
"Karo Batak","bata1293",0.507458257179389,-1.57008818387325,-0.53705357062241
"Buol","buol1237",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Makassar","maka1311",-3.60229488805668,0.0280723467896229,0.148835763653254
"Kambera","kamb1299",-1.53389221713609,2.60223403534988,-2.57794451827605
"Ata","ataa1240",4.56515398392183,0.353985527010595,1.49451438483635
"Babanki","baba1266",-2.19155401324658,-1.04061559903146,-0.977997385408896
"Lamaholot, Lewoingu",NA,0.187221818498484,-0.593510083470662,-1.06095116201145
"Kei","keii1239",0.0415848598731003,2.39298946654342,-2.73032345418999
"Ot Danum, Kadorih","kado1243",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Sumbawa","sumb1241",-3.18181643301759,-0.383702334696408,-0.20879415994812
"Penan, Benalui",NA,0.187221818498484,-0.593510083470662,-1.06095116201145
"Kenyah, Lebu’ Kulit","lepo1241",0.507458257179389,-1.57008818387325,-0.53705357062241
"Kenyah, Òma Lóngh",NA,0.507458257179389,-1.57008818387325,-0.53705357062241
"Kayan (Baram)","bara1370",0.507458257179389,-1.57008818387325,-0.53705357062241
"Punan, Malinau",NA,0.187221818498484,-0.593510083470662,-1.06095116201145
"Lamaholot, Lewotobi","lewo1244",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Gayo","gayo1244",0.507458257179389,-1.57008818387325,-0.53705357062241
"Arabic, Omani","oman1239",-0.139477740914459,-1.13626856611246,0.303536105644439
"Malay, Kupang","kupa1239",-2.40756665031877,-0.728317714350935,-0.804189468135313
"French, colloquial","d/stan1290",-0.889696901750474,3.12194910864211,-2.10093968387367
"Sasak","sasa1249",-1.67226685914568,-0.896912846948131,-0.940594286793205
"Li’o","lioo1240",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Ngada","ngad1267",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Pendau","pend1242",0.507458257179389,-1.57008818387325,-0.53705357062241
"Ratahan","rata1244",1.27877854817138,0.111821680738042,-0.739779086954409
"Lauje","lauj1238",0.507458257179389,-1.57008818387325,-0.53705357062241
"Pamona","pamo1252",-1.23077724675866,-1.83209557126257,-0.458980413804096
